(1, 2, 3, 9) A=31 B=30 | (4, 5, 6) A=30 B=29 | (7, 8) A=30 B=33 | (10, 11) A=29 B=28 
(1, 2, 3) A=30 B=29 | (4, 5, 6, 9) A=31 B=30 | (7, 8) A=30 B=33 | (10, 11) A=29 B=28 
(1, 2, 3) A=30 B=29 | (4, 5, 6) A=30 B=29 | (7, 8, 9) A=31 B=34 | (10, 11) A=29 B=28 
(1, 2, 3) A=30 B=29 | (4, 5, 6) A=30 B=29 | (7, 8) A=30 B=33 | (9, 10, 11) A=30 B=29 
(1, 2, 3) A=30 B=29 | (4, 6, 8) A=33 B=35 | (5, 7, 9) A=28 B=28 | (10, 11) A=29 B=28 
(1, 2, 3, 9) A=31 B=30 | (4, 7) A=29 B=33 | (5, 6, 8) A=31 B=29 | (10, 11) A=29 B=28 
(1, 2, 3) A=30 B=29 | (4, 7, 9) A=30 B=34 | (5, 6, 8) A=31 B=29 | (10, 11) A=29 B=28 
(1, 2, 3) A=30 B=29 | (4, 7) A=29 B=33 | (5, 6, 8, 9) A=32 B=30 | (10, 11) A=29 B=28 
(1, 2, 3) A=30 B=29 | (4, 7) A=29 B=33 | (5, 6, 8) A=31 B=29 | (9, 10, 11) A=30 B=29 
(1, 2, 4, 5) A=33 B=30 | (3, 6, 9) A=28 B=29 | (7, 8) A=30 B=33 | (10, 11) A=29 B=28 
(1, 2, 4, 9) A=28 B=27 | (3, 5, 6) A=33 B=32 | (7, 8) A=30 B=33 | (10, 11) A=29 B=28 
(1, 2, 4, 9) A=28 B=27 | (3, 6, 11) A=28 B=30 | (5, 10) A=34 B=30 | (7, 8) A=30 B=33 
(1, 2, 4, 11) A=28 B=28 | (3, 6, 9) A=28 B=29 | (5, 10) A=34 B=30 | (7, 8) A=30 B=33 
(1, 2, 4, 9) A=28 B=27 | (3, 7) A=32 B=36 | (5, 6, 8) A=31 B=29 | (10, 11) A=29 B=28 
(1, 2, 6) A=35 B=31 | (3, 4, 5, 9) A=26 B=28 | (7, 8) A=30 B=33 | (10, 11) A=29 B=28 
(1, 2, 6) A=35 B=31 | (3, 4, 8) A=28 B=33 | (5, 7, 9) A=28 B=28 | (10, 11) A=29 B=28 
(1, 2, 5, 8) A=34 B=30 | (3, 6, 9) A=28 B=29 | (4, 7) A=29 B=33 | (10, 11) A=29 B=28 
(1, 2, 6) A=35 B=31 | (3, 5, 8, 9) A=27 B=28 | (4, 7) A=29 B=33 | (10, 11) A=29 B=28 
(1, 2, 8, 9) A=29 B=27 | (3, 5, 6) A=33 B=32 | (4, 7) A=29 B=33 | (10, 11) A=29 B=28 
(1, 2, 8, 9) A=29 B=27 | (3, 7) A=32 B=36 | (4, 5, 6) A=30 B=29 | (10, 11) A=29 B=28 
(1, 2, 8, 9) A=29 B=27 | (3, 6, 11) A=28 B=30 | (4, 7) A=29 B=33 | (5, 10) A=34 B=30 
